DATE,DEPTH,LATITUDE,LONGITUDE,SALINITY,TEMPERATURE,CPHL,sur_refl_b08,sur_refl_b09,sur_refl_b10,sur_refl_b11,sur_refl_b12,sur_refl_b13,sur_refl_b14,sur_refl_b15,sur_refl_b16
5/5/2019,9.258845,17.56754,68.38962,36.61500174,29.19100139,0.072000003,0.1172,0.1117,0.107,0.1019,0.1007,-0.01,-0.01,-0.01,-0.01
5/15/2019,6.0167575,17.89659,68.3814,36.82900175,29.5650014,0.086000004,0.0851,0.0865,0.0862,0.07465,0.0021,-0.0025,-0.0023,-0.0037,-0.00475
5/25/2019,8.960493,18.12906,68.31059,36.58000174,30.05000143,0.079000004,0.1468,0.14085,0.13365,0.1215,-0.01,-0.01,-0.01,-0.01,-0.01
6/3/2019,7.1206584,18.31884,68.25008,36.99300176,30.47100145,0.079000004,0.1181,0.1105,0.10155,0.08785,0.0853,0.02805,0.0282,0.0267,-0.01
6/13/2019,7.3394494,18.47944,68.23271,36.56000174,29.24300139,0.302000014,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6/23/2019,9.487581,18.54533,68.24643,36.52200173,29.4130014,0.41800002,0.19,0.1873,0.1892,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/3/2019,9.079834,18.60909,68.09524,36.63600174,29.5270014,0.194000009,0.2711,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/13/2019,9.20912,18.6951,67.91023,36.76100175,29.22000139,0.288000014,0.2931,0.29035,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/23/2019,9.467691,18.7655,67.84667,36.66500174,28.81400137,0.302000014,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/2/2019,9.746153,18.8823,67.93499,36.61700174,27.88600132,1.188000056,0.5458,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/12/2019,9.945054,18.77466,68.38009,36.80100175,27.52300131,1.634000078,0.3678,0.1021,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/11/2019,9.199175,18.92075,68.81397,36.73300174,27.89800133,0.763000036,0.3177,0.3145,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/21/2019,9.656647,18.96161,68.85373,36.63500174,27.96100133,0.590000028,0.28175,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/1/2019,9.497526,18.96204,68.89295,36.25300172,28.45300135,0.194000009,0.1691,0.1665,0.0295,0.02315,0.02155,0.01535,0.01535,0.014,0.0124
10/11/2019,9.22901,18.93649,68.91463,36.59200174,29.17600139,0.144000007,0.1278,0.11265,0.05325,0.04475,0.0427,-0.01,0.03295,0.03075,0.02725
10/21/2019,7.190274,18.71368,69.03552,36.38600173,28.67500136,0.238000011,0.5005,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/31/2019,9.1295595,18.73085,68.98815,36.53600174,27.97800133,1.087000052,0.42935,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11/10/2019,5.9371967,18.68147,69.11781,36.10100171,28.15800134,0.187000009,3.00E-04,5.00E-04,0.00195,-2.00E-04,-9.00E-04,-0.00145,-3.50E-04,-0.00105,0.0012
11/20/2019,8.910768,18.53651,69.25153,36.18700172,28.14400134,0.706000034,0.14545,0.14335,-0.00905,-0.0095,-0.0094,-0.0065,-0.006,-0.00595,-0.00455
11/30/2019,9.567142,18.25606,69.25233,35.8000017,28.35800135,0.151000007,0.10665,0.1009,0.0991,0.0921,-0.01,-0.01,-0.01,-0.01,-0.01
12/10/2019,9.378185,18.05693,69.12788,36.28300172,28.01800133,0.42500002,0.2588,0.00125,0.00325,-4.00E-04,-8.50E-04,-0.0026,-0.00225,-0.0035,-0.0041
12/20/2019,9.726262,17.86586,69.08646,36.32100173,27.4310013,0.806000038,0.07625,0.0703,0.0666,0.06035,0.0594,-0.00465,-0.00435,-0.00465,-0.00445
12/30/2019,9.447801,17.91693,69.04684,36.36100173,27.4260013,0.547000026,0.02225,0.01745,0.01485,0.0084,0.00665,0.00165,0.00255,3.50E-04,0.00135
1/9/2020,9.467691,18.11789,69.03485,36.41000173,26.84000127,0.720000034,0.1132,0.1075,0.1015,0.0905,0.0885,0.0714,0.0717,0.0672,0.0608
1/19/2020,9.606922,18.42705,68.95598,36.46900173,26.39800125,0.778000037,0.0122,0.0142,0.0149,0.009,0.00825,0.0025,0.00285,7.50E-04,4.00E-04
1/29/2020,9.507472,18.80879,68.75469,36.24200172,26.58400126,0.799000038,0.0558,0.053,0.0513,0.0438,0.04345,-0.00555,-0.00525,-0.0055,-0.0049
2/8/2020,9.527361,19.10501,68.59289,36.45100173,26.13700124,0.871000041,0.0921,0.08535,0.07985,0.0697,-0.0045,-0.0046,-0.00435,-0.00495,-0.005
2/18/2020,9.577086,19.2612,68.54118,36.20500172,26.90500128,0.21600001,-0.0096,-0.005,0.0017,4.00E-04,4.00E-04,-8.00E-04,-5.00E-04,-8.00E-04,-2.00E-04
2/28/2020,9.149449,19.26831,68.50373,36.20300172,27.2840013,0.194000009,0.0168,0.01845,0.01825,0.01025,0.00915,0.00295,0.00325,0.0016,9.00E-04
3/9/2020,9.507472,19.13273,68.48297,36.16500172,26.96400128,0.360000017,0.0129,0.01335,0.01255,0.0049,0.00395,-1.00E-04,2.50E-04,-2.00E-04,2.50E-04
3/19/2020,8.662142,18.88255,68.48132,36.15400172,27.09700129,0.173000008,0.02405,0.0225,0.01965,0.0118,0.00995,0.002,0.0021,4.50E-04,-5.00E-05
3/29/2020,9.378185,18.6569,68.59589,35.96300171,28.37200135,0.223000011,0.0094,0.0089,0.012,0.0059,0.0052,0.001,0.0016,9.00E-04,4.00E-04
4/8/2020,9.199175,18.46861,68.85989,36.10400171,28.67600136,0.166000008,0.06355,0.06605,0.06655,0.0581,0.05715,-0.0037,-0.00355,-0.0044,-0.00475
4/18/2020,9.557197,18.44151,69.1827,36.23900172,28.96000138,0.20900001,0.00405,0.00435,0.0047,0.0025,0.00245,9.00E-04,0.00145,5.00E-05,3.50E-04
4/28/2020,9.408021,18.58519,69.4204,36.21700172,29.76100141,0.173000008,0.0279,0.023,0.01915,0.01195,0.0104,-0.00425,-0.0042,-0.00485,-0.0049
5/8/2020,7.409065,18.85296,69.43435,36.28100172,30.34300144,0.094000004,0.06005,0.05805,0.0544,0.04465,0.0427,-0.00335,-0.00345,-0.00445,-0.0048
5/18/2020,5.181373,19.11472,69.20633,36.42800173,30.63800146,0.094000004,0.0823,0.077,0.074,0.06375,0.0628,-0.01,-0.01,-0.01,-0.00315
5/28/2020,9.527361,19.15576,69.09475,36.70500174,30.61100145,0.086000004,0.0227,0.02055,0.0166,0.0057,0.0042,0.00135,0.00185,6.50E-04,9.00E-04
6/7/2020,9.676537,19.28725,68.95802,36.81500175,31.06600148,0.094000004,0.0399,0.0349,0.0298,0.0184,0.0166,-8.00E-04,-7.00E-04,-0.0023,-0.00435
6/17/2020,6.504065,19.21726,68.95497,36.66200174,30.84800147,0.122000006,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6/27/2020,8.24445,19.147,69.03246,36.66500174,30.76400146,0.108000005,0.13725,0.13415,0.1308,0.0433,0.0422,-0.01,-0.01,-0.01,-0.01
7/17/2020,9.616867,18.33707,69.53751,36.35200173,28.84100137,0.331000016,0.0585,0.0534,0.04815,0.0434,0.04145,-0.01,-0.01,-0.01,-0.01
7/27/2020,8.791428,18.15816,69.50028,36.33900173,29.11900138,0.115000005,0.05155,0.05025,0.05035,0.04705,0.04635,-0.01,-0.01,-0.01,-0.01
8/26/2020,9.567142,18.19238,69.60871,36.64500174,28.25700134,0.382000018,0.2257,0.2232,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/5/2020,9.408021,18.17405,69.57273,36.39000173,28.21700134,0.158000008,0.049,0.0427,0.0382,0.0263,0.0233,0.0103,0.011,0.0055,0.002
9/15/2020,9.507472,17.95276,69.74438,36.49700173,28.81300137,0.122000006,0.1674,0.15675,0.0132,0.00515,0.00315,-0.00125,-5.00E-04,-0.0024,-0.00325
12/14/2020,8.3439,18.20887,70.21929,35.45300168,27.22400129,0.475000023,0.41615,-0.00325,5.00E-05,-0.0035,-0.00365,-0.00465,-0.00405,-0.0049,-0.0045
12/24/2020,9.069889,18.25457,70.10923,35.27100168,28.00300133,0.252000012,3.50E-04,6.00E-04,0.00625,0.0011,7.50E-04,5.00E-05,4.50E-04,-6.50E-04,1.00E-04
1/3/2021,8.652197,18.42644,69.91177,35.60100169,27.51500131,0.223000011,0.142,0.14035,7.00E-04,-0.0031,-0.0034,-0.0052,-0.0051,-0.00535,-0.00515
1/13/2021,9.795877,18.47378,69.67992,35.20800167,27.58600131,0.151000007,0.1293,0.13095,0.0031,-5.50E-04,-0.0011,-0.00325,-0.00305,-0.0044,-0.0043
1/23/2021,7.6278563,18.34201,69.48572,36.04200171,27.15900129,0.108000005,0.0623,0.05345,0.05,-9.50E-04,-0.00135,-0.00415,-0.00445,-0.00515,-0.0047
2/2/2021,8.413515,18.30952,69.43688,36.10200171,26.43100126,0.230000011,0.0046,0.0033,0.00365,-0.0017,-0.0015,-0.00125,-9.50E-04,-8.50E-04,-1.00E-04
2/12/2021,9.437856,18.37971,69.44827,35.8780017,27.83500132,0.158000008,0.0082,0.0071,0.0081,0.0017,0.0016,-5.00E-04,-1.00E-04,-2.00E-04,-2.00E-04
2/22/2021,8.115164,18.42452,69.52361,35.68600169,28.08100133,0.079000004,0.06845,0.06455,0.0597,0.0453,0.0349,0.0275,0.02715,0.0244,0.0264
3/4/2021,8.682031,18.2007,69.745,35.35200168,27.67800131,0.079000004,0.0417,0.0396,0.03885,0.03,0.02935,0.02525,0.0252,0.0237,0.02145
5/3/2021,9.815768,17.41687,69.40919,35.51800169,30.16400143,0.058000003,0.0326,0.0245,0.0191,0.0056,0.0044,2.00E-04,5.00E-04,-1.00E-04,-2.00E-04
6/2/2021,5.9968677,17.9008,69.50926,35.66700169,30.57900145,0.180000009,0.4026,0.0425,0.03015,0.0193,-0.01,-0.01,-0.01,-0.01,-0.01
6/12/2021,9.437856,18.11229,69.32819,36.23900172,29.84500142,0.245000012,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6/22/2021,8.701921,18.23572,69.2562,36.53500174,29.83800142,0.058000003,0.06695,0.0584,0.05105,5.00E-05,-0.01,-0.01,-0.01,-0.01,-0.01
7/2/2021,9.318515,18.21963,69.25638,36.50400173,29.64500141,0.086000004,0.0257,0.02135,0.01895,0.0082,0.0068,0.0028,0.00425,0.00115,-0.0041
7/12/2021,6.891922,18.24722,69.34231,36.26300172,29.4930014,0.281000013,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/22/2021,9.22901,18.18572,69.4804,36.32500173,28.67100136,0.288000014,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/1/2021,8.801373,18.13095,69.68925,36.22100172,28.14900134,0.238000011,0.0927,0.0948,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/11/2021,9.497526,18.05262,69.87177,36.37700173,28.21900134,0.166000008,0.2879,0.28385,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/21/2021,9.159394,17.96758,69.87558,36.40600173,28.19900134,0.173000008,0.2498,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/30/2021,8.960493,17.61724,69.36137,36.45400173,28.53200136,0.072000003,0.28245,0.2658,0.09525,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/20/2021,9.328461,17.72871,69.2701,36.25400172,29.00000138,0.079000004,0.02865,0.02765,0.0218,0.00925,0.00715,0.00155,0.0018,3.50E-04,8.00E-04
10/30/2021,8.841152,17.69072,69.29558,36.35600173,28.81600137,0.094000004,0.1822,0.1718,0.16045,0.1465,0.0549,-0.01,-0.01,-0.01,-0.01
11/9/2021,9.099724,17.61572,69.25278,36.42700173,28.39800135,0.194000009,0.5105,0.11935,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11/19/2021,8.831207,17.33794,69.19932,35.41700168,28.18800134,0.194000009,0.585,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11/29/2021,7.3593397,16.98908,69.13152,36.16600172,28.18300134,0.173000008,0.08275,0.0745,0.0677,0.05535,0.0533,0.0441,0.04465,0.04115,0.03835
12/9/2021,8.333955,16.71724,69.24873,35.8150017,27.86700132,0.108000005,0.01395,0.0091,0.0091,0.002,0.00165,-0.00705,-0.0064,-0.00615,0.00205
4/18/2022,9.238955,16.77675,68.38868,35.22100167,29.4370014,0.086000004,0.0257,0.021,0.0165,0.0051,0.0043,1.00E-04,4.00E-04,1.00E-04,0
4/28/2022,7.4886255,16.83522,67.89674,35.25100167,29.76100141,0.065000003,0.059,0.06065,0.06115,0.05155,0.0511,-0.00555,-0.00505,-0.00485,-0.0045
5/8/2022,9.626812,16.77209,67.41129,35.31500168,30.01800143,0.058000003,0.03955,0.03545,0.0282,0.0146,0.0133,-0.0048,0.00925,-0.005,-0.0051
5/18/2022,9.756099,16.74418,66.88886,35.8180017,30.21400144,0.050000002,0.1366,0.1322,0.1281,0.1175,-0.01,-0.01,-0.01,-0.01,-0.01
5/28/2022,6.921757,16.77471,66.396,36.20900172,30.39700144,0.058000003,0.11705,0.11805,0.116,0.1047,0.04445,-0.01,-0.01,-0.01,-0.01
6/17/2022,9.805822,16.8758,65.68488,36.18700172,29.62500141,0.122000006,0.0337,0.0274,0.0234,0.0118,0.0102,0.0041,0.0047,0.0024,0.0018
6/27/2022,9.258845,16.67904,65.74601,36.03200171,29.4110014,0.317000015,0.266,0.2527,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/7/2022,6.1460433,16.31556,65.88364,36.28800172,27.77800132,0.598000028,0.52995,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/17/2022,9.577086,15.85541,65.95257,36.38600173,27.2650013,0.576000027,0.49965,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/27/2022,9.089779,15.46899,66.03344,36.45800173,27.12900129,0.914000043,0.279,0.2724,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/6/2022,9.626812,15.34896,66.09902,36.50100173,26.80500127,0.878000042,0.3465,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/16/2022,9.447801,15.56274,66.108,36.48600173,26.66900127,0.396000019,0.46985,0.14905,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/26/2022,9.596976,15.86872,66.15395,36.52500173,26.57500126,0.475000023,0.30235,0.29795,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/5/2022,6.693021,16.30689,66.20476,36.52700173,27.12100129,0.461000022,0.08215,0.07825,0.07625,0.0719,0,-0.00275,-0.0021,-0.00325,-0.00405
9/15/2022,9.477636,16.75005,66.11436,36.48100173,27.06700129,0.554000026,0.33105,0.08425,0.0773,0.07155,-0.01,-0.01,-0.01,-0.01,-0.01
10/5/2022,9.109669,17.68531,65.86468,36.57500174,28.33700135,0.144000007,0.02665,0.0237,0.0217,0.0121,0.0102,0.00365,0.0044,0.00235,0.0021
11/24/2022,9.398076,18.04209,66.64829,36.53300174,27.75300132,0.166000008,0.022,0.0181,0.0155,0.0081,0.00675,0.00195,0.0022,6.50E-04,3.50E-04
12/4/2022,9.606922,17.98043,66.704,36.59700174,27.3970013,0.288000014,-2.50E-04,0.00185,0.0036,-0.00265,-0.0045,-0.00515,-0.00505,-0.0053,-0.00505
12/14/2022,9.298625,17.95161,66.78706,36.60600174,26.77300127,0.547000026,0.185,0.18375,-0.00435,-0.0049,-0.00485,-0.01,-0.0038,-0.00415,-0.0038
12/24/2022,9.736207,17.88655,66.84561,36.55800174,26.28800125,0.878000042,0.026,0.0207,0.0168,0.0113,0.00985,0.0023,0.0026,8.00E-04,5.00E-05
1/3/2023,9.338406,17.83142,66.91171,35.8600017,25.74800122,0.706000034,0.07825,0.081,0.0794,0.0757,-0.00145,-0.0044,-0.0042,-0.00485,-0.0049
1/13/2023,6.434449,17.8291,67.0123,36.51200173,25.63200122,0.655000031,0.05995,0.0584,0.05705,0.05215,0.05115,-0.00735,-0.00675,-0.0062,-0.00445
1/23/2023,8.870988,17.93731,67.15936,36.33000173,25.2080012,0.518000025,0.13825,0.1292,0.1212,0.11635,0.0302,0.02485,0.02605,0.0248,0.02215
9/10/2003,3.9481862,58.835,20.456,7.15600034,4.83800023,1.454000069,0.10355,0.1039,0.10395,0.10365,0.003,-0.00285,-0.0029,-0.0044,-0.0048
9/13/2003,4.3260984,58.88,20.49,6.920000329,4.42200021,1.922000091,0.01145,0.0121,0.0144,0.01425,0.0148,0.00455,0.00445,0.00125,5.00E-04
9/15/2003,4.3758235,58.879,20.472,6.863000326,4.302000204,2.469000117,0.2222,0.215,0.0017,0.00175,0.0022,-0.00305,-0.003,-0.00445,-0.00475
9/17/2003,4.1470876,58.815,20.502,7.120000338,4.984000237,2.203000105,0.1502,0.14735,0.1438,0.13785,0.0023,-0.00295,-0.00305,-0.0044,-0.00485
11/24/2003,4.266428,58.643,20.506,6.230000296,15.96200076,3.815000181,0.55215,0.53025,0.50665,0.48805,0.488,0.1318,0.13155,0.1284,0.1253
12/10/2016,5.927252,0.103,83.414,35.39000168,28.25100134,0.781000037,0.5073,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
12/20/2016,5.7681313,0.55,84.57,35.00900166,28.71100136,0.095000005,0.0989,0.0891,0.0793,0.06555,0.0622,-0.0039,-0.00385,-0.00455,-0.00485
12/30/2016,5.439944,0.183,85.512,34.47700164,28.82900137,0.109000005,0.033,0.03,0.0243,0.0119,0.0096,0.0023,0.0024,0.0015,0.0012
1/8/2017,5.2708783,0.541,86.66,35.22100167,28.38300135,0.723000034,0.121,0.1156,0.1084,0.0962,0.0931,-0.01,-0.01,-0.01,-0.01
1/18/2017,5.738296,0.297,87.618,35.14000167,28.84400137,0.168000008,0.0286,0.0251,0.0211,0.0094,0.0074,-0.01,-0.01,-0.01,-0.01
1/28/2017,5.48967,0.384,87.495,35.12900167,29.5280014,0.117000006,0.06435,0.0553,0.0489,0.0351,0.033,-0.00495,0.0282,0.0272,0.02595
2/7/2017,5.68857,0.455,87.682,34.77700165,28.94000137,0.051000002,0.1499,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2/16/2017,5.60901,0.445,87.819,34.68900165,29.3810014,0.066000003,0.18775,0.01545,0.0101,0.00195,7.00E-04,-0.0036,-0.00365,-0.00435,-0.0049
2/26/2017,5.6487904,0.017,87.688,34.35400163,28.77200137,0.146000007,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
3/8/2017,5.54934,0.113,88.079,34.07600162,29.26400139,0.088000004,0.2876,0.091,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
3/18/2017,4.694065,0.209,88.229,34.28600163,29.4810014,0.080000004,0.09305,0.0821,0.07015,0.05435,0.05135,0.04245,0.04225,0.04065,0.03815
3/28/2017,5.5195045,0.699,88.309,34.46400164,29.69000141,0.058000003,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
4/7/2017,4.7437906,1.412,87.966,34.91400166,29.87500142,0.058000003,0.1157,0.108,0.0954,0.078,0.0745,-0.01,0.0636,0.0611,0.0577
4/16/2017,5.579175,1.614,87.993,34.85700166,29.34600139,0.270000013,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
4/26/2017,4.614505,1.271,88.384,34.37000163,30.00100142,0.073000003,0.06315,0.05605,0.0487,0.03535,0.033,-0.00325,-0.00335,-0.0043,-0.00405
5/6/2017,5.68857,2.033,89.397,34.59800164,30.07900143,0.088000004,0.08865,0.0876,0.08725,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
5/16/2017,5.8377466,1.773,90.998,34.45500164,29.97200142,0.109000005,0.2887,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
5/26/2017,5.3106585,1.273,91.495,34.33400163,29.5340014,0.058000003,0.1951,0.1815,0.0387,0.03435,0.0333,0.0305,0.02995,0.03,-0.01
6/5/2017,4.515054,0.707,90.807,34.22700163,29.75000141,0.051000002,0.0412,0.0346,0.0256,0.0112,0.0088,0.0016,0.0014,5.00E-04,2.00E-04
6/25/2017,4.594615,1.844,89.886,33.85600161,29.5210014,0.066000003,0.2638,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/5/2017,5.6388454,2.851,90.291,33.92300161,29.3730014,0.073000003,0.0873,0.0729,0.0545,0.0382,0.03485,0.0283,0.0285,0.0275,0.02675
7/15/2017,5.161483,2.327,90.763,33.56300159,29.03800138,0.080000004,0.1215,0.1151,0.1077,0.0941,0.0911,-0.01,-0.01,-0.01,-0.01
7/24/2017,5.499615,1.278,89.653,34.43300164,29.59000141,0.073000003,0.0439,0.03665,0.0273,0.01075,0.0083,0.0024,0.00265,0.0016,9.50E-04
8/3/2017,3.9879668,0.716,88.432,34.45500164,28.98100138,0.365000017,0.21935,0.0121,0.00555,-0.00115,-0.0028,-0.00445,-0.00385,-0.0046,-0.00365
8/13/2017,5.6587353,0.731,87.936,34.43000164,28.80600137,0.745000035,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/23/2017,4.68412,0.564,87.639,34.49500164,29.22600139,0.109000005,0.1011,0.0994,0.0982,0.0904,0.0888,-0.01,-0.01,-0.01,-0.01
9/2/2017,5.320604,1.003,87.655,34.22500163,29.10900138,0.161000008,0.33725,0.06,0.05665,0.0473,0.04555,-0.01,-0.01,-0.01,-0.01
9/12/2017,4.813406,0.868,88.302,33.96100161,28.90700137,0.080000004,0.14,0.13425,0.00645,1.50E-04,-0.0013,-0.00425,-0.00395,-0.0046,-0.00465
10/1/2017,5.559285,0.617,89.611,34.11500162,29.4000014,0.088000004,0.06825,0.0563,0.043,0.0265,0.02345,0.016,0.016,0.01485,0.0135
10/11/2017,5.0023623,0.618,89.695,34.19400162,28.87600137,0.270000013,0.1243,0.1322,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/21/2017,4.5548344,0.653,90.356,34.31300163,29.63200141,0.117000006,0.10215,0.09,0.07785,0.0609,0.0573,-0.00255,-0.0026,-0.00385,-0.00465
10/31/2017,5.8874717,0.269,91.152,33.7500016,29.4680014,0.080000004,0.41625,0.12995,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11/10/2017,4.902911,-0.378,91.503,34.25000163,29.04900138,0.088000004,0.19055,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11/29/2017,4.395714,0.42,90.337,34.43700164,28.71500136,0.109000005,0.2944,0.07005,0.06505,0.0594,0.05825,-0.01,-0.01,-0.01,-0.01
12/9/2017,5.6786256,0.817,89.357,34.31600163,28.86300137,0.095000005,0.30915,0.0295,0.0247,0.01795,0.01655,0.0114,0.01125,0.0103,0.0091
12/19/2017,5.201263,0.65,89.171,33.96200161,29.3710014,0.168000008,0.0613,0.0502,0.0398,0.02645,0.02345,0.01475,0.01485,0.013,0.01165
12/29/2017,5.68857,0.43,88.709,34.62000164,29.10200138,0.073000003,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1/8/2018,4.6741753,0.421,88.505,34.90800166,28.91600137,0.051000002,0.07545,0.0682,0.05995,0.0466,0.04405,0.0358,0.0359,0.03385,-0.00465
1/18/2018,5.68857,0.627,87.683,34.89300166,28.99100138,0.109000005,0.33085,0.1067,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1/27/2018,5.6587353,0.206,86.461,34.92600166,28.91000137,0.088000004,0.5292,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2/6/2018,5.400164,0.204,84.636,34.54700164,28.91100137,0.066000003,0.09815,0.0891,0.0781,0.06275,-0.00175,-0.00455,-0.0045,-0.00495,-0.00475
2/16/2018,5.7084603,0.488,82.544,34.73800165,29.4780014,0.036000002,0.10705,0.09615,0.08445,0.068,0.0647,0.01775,0.0187,0.01795,0.0197
5/16/2018,4.614505,1.298,73.722,34.73200165,29.73700141,0.051000002,0.0194,0.0143,0.0091,0.00165,4.50E-04,-0.0036,-0.0037,-0.0043,-0.00485
5/26/2018,4.594615,1.15,73.996,34.97800166,29.33800139,0.117000006,0.2815,0.2686,0.0825,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6/5/2018,5.827801,0.903,74.244,35.13600167,29.4210014,0.270000013,0.6324,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6/14/2018,5.52945,1.219,74.787,35.08200167,29.65200141,0.131000006,0.2631,0.01955,0.0141,0.00525,0.0035,-0.0025,-0.00245,-0.00385,-0.0046
6/24/2018,4.524999,1.692,75.366,34.89400166,29.15900138,0.131000006,0.1423,0.1492,0.0025,-0.00235,-0.0033,-0.0049,-0.00465,-0.0051,-0.00475
5/24/2018,5.4200544,2.358,75.443,34.84200165,28.80300137,0.358000017,0.1723,0.1658,0.1595,0.1512,-0.01,-0.01,-0.01,-0.01,-0.01
8/22/2018,5.211208,2.335,77.223,35.31900168,28.55400136,0.394000019,0.1906,0.1841,0.0662,0.06195,-0.01,-0.01,-0.01,-0.01,-0.01
9/21/2018,4.3559337,2.657,76.878,35.19000167,28.68300136,0.438000021,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/1/2018,5.6786256,2.636,77.604,35.28100168,28.59400136,0.161000008,0.33835,0.09445,0.089,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/20/2018,4.455384,2.627,79.238,35.36700168,29.4790014,0.161000008,0.0799,0.0703,0.06115,0.04645,0.04405,-0.00505,-0.0047,-0.0047,-0.0039
